month,state,cases,rainfall in mm,temperature,avg relative humidity,mosquito,disease
2018,jharkhand,851,70.76,26.78,55.14,aegypti,chikunguniya
2018,karnatak,2546,45.58,28.03,56.5,aegypti,chikunguniya
2018,kerala,77,128.3,28.03,75.7,aegypti,chikunguniya
2018,madhya pradesh,1609,66.2,28.7,46.9,aegypti,chikunguniya
2018,meghalaya,2,301,19.06,84.4,aegypti,chikunguniya
2018,maharastrarastrarastrarastra,1009,64.14,28.9,45.9,aegypti,chikunguniya
2018,manipur,0,110.9,21.77,77.6,aegypti,chikunguniya
2018,orissa,0,71.4,29.68,60.4,aegypti,chikunguniya
2018,punjab,25,38.4,27.98,42.8,aegypti,chikunguniya
2018,rajasthan,254,25.4,29,35.11,aegypti,chikunguniya
2018,sikkim,28,105.4,14.4,63.03,aegypti,chikunguniya
2018,tamil nadu,284,49.6,30.8,61.5,aegypti,chikunguniya
2018,tripura,75,203,26.4,75.7,aegypti,chikunguniya
2018,telangana,489,63.7,28.9,53.8,aegypti,chikunguniya
2018,uttar pradesh,58,43.3,29.4,45.1,aegypti,chikunguniya
2018,uttarakhand,7,92.3,23.6,49.9,aegypti,chikunguniya
2018,a&n island,27,151.21,28.4,75.7,aegypti,chikunguniya
2018,chandigarh,4,55.6,25.5,45.6,aegypti,chikunguniya
2018,delhi,407,20.88,28.9,40.7,aegypti,chikunguniya
2018,d&n haveli,0,107,28.15,66.8,aegypti,chikunguniya
2018,pudducherry,361,171.2,29.4,71.2,aegypti,chikunguniya
2018,arunachal pradesh,4011,47.54,30.63,64.4,aedes,dengue
2018,arunachal pradesh,1,170.9,25.08,73.22,aedes,dengue
2018,assam,188,145,26.1,73.8,aedes,dengue
2018,bihar,2142,31.22,29.5,50.4,aedes,dengue
2018,chhatisgarh,2674,67.04,29.6,49.2,aedes,dengue
2018,goa,335,118.4,28.5,71.4,aedes,dengue
2018,gujarat,7579,49.06,29.95,47.57,aedes,dengue
2018,haryana,1898,21.3,29.1,37.9,aedes,dengue
2018,himachal pradesh,4672,105,18.4,53.4,aedes,dengue
2018,jammu & kashmir,214,40.7,25.88,37.8,aedes,dengue
2018,jharkhand,463,70.76,26.78,55.14,aedes,dengue
2018,karnatak,4427,45.58,28.03,56.5,aedes,dengue
2018,kerala,4827,128.3,28.03,75.7,aedes,dengue
2018,lakshdweep,0,90.35,28.19,74.8,aedes,dengue
2018,madhya pradesh,4506,66.2,28.7,46.9,aedes,dengue
2018,meghalaya,44,301,19.06,84.4,aedes,dengue
2018,maharastrarastrarastrarastra,11011,64.14,28.9,45.9,aedes,dengue
2018,manipur,14,110.9,21.77,77.6,aedes,dengue
2018,mizoram,68,128.9,24.75,76.8,aedes,dengue
2018,nagaland,369,171.22,25.05,75.6,aedes,dengue
2018,orissa,5198,71.4,29.68,60.4,aedes,dengue
2018,punjab,14890,38.4,27.98,42.8,aedes,dengue
2018,rajasthan,9587,25.4,29,35.11,aedes,dengue
2018,sikkim,320,105.4,14.4,63.03,aedes,dengue
2018,tamil nadu,4486,49.6,30.8,61.5,aedes,dengue
2018,tripura,100,203,26.4,75.7,aedes,dengue
2018,telangana,4592,63.7,28.9,53.8,aedes,dengue
2018,uttar pradesh,3829,43.3,29.4,45.1,aedes,dengue
2018,uttarakhand,689,92.3,23.6,49.9,aedes,dengue
2018,a&n island,49,151.21,28.4,75.7,aedes,dengue
2018,chandigarh,301,55.6,25.5,45.6,aedes,dengue
2018,delhi,7136,20.88,28.9,40.7,aedes,dengue
2018,d&n haveli,493,107,28.15,66.8,aedes,dengue
2018,pudducherry,592,171.2,29.4,71.2,aedes,dengue
2018,arunachal pradesh,4011,47.54,30.63,64.4,aedes,dengue
2018,arunachal pradesh,1,170.9,25.08,73.22,aedes,dengue
2018,assam,188,145,26.1,73.8,aedes,dengue
2018,bihar,2142,31.22,29.5,50.4,aedes,dengue
2018,chhatisgarh,2674,67.04,29.6,49.2,aedes,dengue
2018,goa,335,118.4,28.5,71.4,aedes,dengue
2018,gujarat,7579,49.06,29.95,47.57,aedes,dengue
2018,haryana,1898,21.3,29.1,37.9,aedes,dengue
2018,himachal pradesh,4672,105,18.4,53.4,aedes,dengue
2018,jammu & kashmir,214,40.7,25.88,37.8,aedes,dengue
2018,jharkhand,463,70.76,26.78,55.14,aedes,dengue
2018,karnatak,4427,45.58,28.03,56.5,aedes,dengue
2018,kerala,4827,128.3,28.03,75.7,aedes,dengue
2018,lakshdweep,0,90.35,28.19,74.8,aedes,dengue
2018,madhya pradesh,4506,66.2,28.7,46.9,aedes,dengue
2018,meghalaya,44,301,19.06,84.4,aedes,dengue
2018,maharastrarastrarastrarastra,11011,64.14,28.9,45.9,aedes,dengue
2018,manipur,14,110.9,21.77,77.6,aedes,dengue
2018,mizoram,68,128.9,24.75,76.8,aedes,dengue
2018,nagaland,369,171.22,25.05,75.6,aedes,dengue
2018,orissa,5198,71.4,29.68,60.4,aedes,dengue
2018,punjab,14890,38.4,27.98,42.8,aedes,dengue
2018,rajasthan,9587,25.4,29,35.11,aedes,dengue
2018,sikkim,320,105.4,14.4,63.03,aedes,dengue
2018,tamil nadu,4486,49.6,30.8,61.5,aedes,dengue
2018,tripura,100,203,26.4,75.7,aedes,dengue
2018,telangana,4592,63.7,28.9,53.8,aedes,dengue
2018,uttar pradesh,3829,43.3,29.4,45.1,aedes,dengue
2018,uttarakhand,689,92.3,23.6,49.9,aedes,dengue
2018,a&n island,49,151.21,28.4,75.7,aedes,dengue
2018,chandigarh,301,55.6,25.5,45.6,aedes,dengue
2018,delhi,7136,20.88,28.9,40.7,aedes,dengue
2018,d&n haveli,493,107,28.15,66.8,aedes,dengue
2018,pudducherry,592,171.2,29.4,71.2,aedes,dengue
2018,arunachal pradesh,4011,47.54,30.63,64.4,aedes,dengue
2018,arunachal pradesh,1,170.9,25.08,73.22,aedes,dengue
2018,assam,188,145,26.1,73.8,aedes,dengue
2018,bihar,2142,31.22,29.5,50.4,aedes,dengue
2018,chhatisgarh,2674,67.04,29.6,49.2,aedes,dengue
2018,goa,335,118.4,28.5,71.4,aedes,dengue
2018,gujarat,7579,49.06,29.95,47.57,aedes,dengue
2018,haryana,1898,21.3,29.1,37.9,aedes,dengue
2018,himachal pradesh,4672,105,18.4,53.4,aedes,dengue
2018,jammu & kashmir,214,40.7,25.88,37.8,aedes,dengue
2018,jharkhand,463,70.76,26.78,55.14,aedes,dengue
2018,karnatak,4427,45.58,28.03,56.5,aedes,dengue
2018,kerala,4827,128.3,28.03,75.7,aedes,dengue
2018,lakshdweep,0,90.35,28.19,74.8,aedes,dengue
2018,madhya pradesh,4506,66.2,28.7,46.9,aedes,dengue
2018,meghalaya,44,301,19.06,84.4,aedes,dengue
2018,maharastrarastrarastrarastra,11011,64.14,28.9,45.9,aedes,dengue
2018,manipur,14,110.9,21.77,77.6,aedes,dengue
2018,mizoram,68,128.9,24.75,76.8,aedes,dengue
2018,nagaland,369,171.22,25.05,75.6,aedes,dengue
2018,orissa,5198,71.4,29.68,60.4,aedes,dengue
2018,punjab,14890,38.4,27.98,42.8,aedes,dengue
2018,rajasthan,9587,25.4,29,35.11,aedes,dengue
2018,sikkim,320,105.4,14.4,63.03,aedes,dengue
2018,tamil nadu,4486,49.6,30.8,61.5,aedes,dengue
2018,tripura,100,203,26.4,75.7,aedes,dengue
2018,telangana,4592,63.7,28.9,53.8,aedes,dengue
2018,uttar pradesh,3829,43.3,29.4,45.1,aedes,dengue
2018,uttarakhand,689,92.3,23.6,49.9,aedes,dengue
2018,a&n island,49,151.21,28.4,75.7,aedes,dengue
2018,chandigarh,301,55.6,25.5,45.6,aedes,dengue
2018,delhi,7136,20.88,28.9,40.7,aedes,dengue
2018,d&n haveli,493,107,28.15,66.8,aedes,dengue
2018,pudducherry,592,171.2,29.4,71.2,aedes,dengue
2018,arunachal pradesh,4011,47.54,30.63,64.4,aedes,dengue
2018,arunachal pradesh,1,170.9,25.08,73.22,aedes,dengue
2018,assam,188,145,26.1,73.8,aedes,dengue
2018,bihar,2142,31.22,29.5,50.4,aedes,dengue
2018,chhatisgarh,2674,67.04,29.6,49.2,aedes,dengue
2018,goa,335,118.4,28.5,71.4,aedes,dengue
2018,gujarat,7579,49.06,29.95,47.57,aedes,dengue
2018,haryana,1898,21.3,29.1,37.9,aedes,dengue
2018,himachal pradesh,4672,105,18.4,53.4,aedes,dengue
2018,jammu & kashmir,214,40.7,25.88,37.8,aedes,dengue
2018,jharkhand,463,70.76,26.78,55.14,aedes,dengue
2018,karnatak,4427,45.58,28.03,56.5,aedes,dengue
2018,kerala,4827,128.3,28.03,75.7,aedes,dengue
2018,lakshdweep,0,90.35,28.19,74.8,aedes,dengue
2018,madhya pradesh,4506,66.2,28.7,46.9,aedes,dengue
2018,meghalaya,44,301,19.06,84.4,aedes,dengue
2018,maharastrarastrarastrarastra,11011,64.14,28.9,45.9,aedes,dengue
2018,manipur,14,110.9,21.77,77.6,aedes,dengue
2018,mizoram,68,128.9,24.75,76.8,aedes,dengue
2018,nagaland,369,171.22,25.05,75.6,aedes,dengue
2018,orissa,5198,71.4,29.68,60.4,aedes,dengue
2018,punjab,14890,38.4,27.98,42.8,aedes,dengue
2018,rajasthan,9587,25.4,29,35.11,aedes,dengue
2018,sikkim,320,105.4,14.4,63.03,aedes,dengue
2018,tamil nadu,4486,49.6,30.8,61.5,aedes,dengue
2018,tripura,100,203,26.4,75.7,aedes,dengue
2018,telangana,4592,63.7,28.9,53.8,aedes,dengue
2018,uttar pradesh,3829,43.3,29.4,45.1,aedes,dengue
2018,uttarakhand,689,92.3,23.6,49.9,aedes,dengue
2018,a&n island,49,151.21,28.4,75.7,aedes,dengue
2018,chandigarh,301,55.6,25.5,45.6,aedes,dengue
2018,delhi,7136,20.88,28.9,40.7,aedes,dengue
2018,d&n haveli,493,107,28.15,66.8,aedes,dengue
2018,pudducherry,592,171.2,29.4,71.2,aedes,dengue
2018,arunachal pradesh,79,47.54,30.63,64.4,aegypti,chikunguniya
2018,arunachal pradesh,1,170.9,25.08,73.22,aegypti,chikunguniya
2018,assam,3,145,26.1,73.8,aegypti,chikunguniya
2018,bihar,156,31.22,29.5,50.4,aegypti,chikunguniya
2018,chhatisgarh,0,67.04,29.6,49.2,aegypti,chikunguniya
2018,goa,77,118.4,28.5,71.4,aegypti,chikunguniya
2018,gujarat,1290,49.06,29.95,47.57,aegypti,chikunguniya
2018,haryana,3,21.3,29.1,37.9,aegypti,chikunguniya
2018,himachal pradesh,0,105,18.4,53.4,aegypti,chikunguniya
2018,jharkhand,851,70.76,26.78,55.14,aegypti,chikunguniya
2018,karnatak,2546,45.58,28.03,56.5,aegypti,chikunguniya
2018,kerala,77,128.3,28.03,75.7,aegypti,chikunguniya
2018,madhya pradesh,1609,66.2,28.7,46.9,aegypti,chikunguniya
2018,meghalaya,2,301,19.06,84.4,aegypti,chikunguniya
2018,maharastrarastrarastrarastra,1009,64.14,28.9,45.9,aegypti,chikunguniya
2018,manipur,0,110.9,21.77,77.6,aegypti,chikunguniya
2018,orissa,0,71.4,29.68,60.4,aegypti,chikunguniya
2018,punjab,25,38.4,27.98,42.8,aegypti,chikunguniya
2018,rajasthan,254,25.4,29,35.11,aegypti,chikunguniya
2018,sikkim,28,105.4,14.4,63.03,aegypti,chikunguniya
2018,tamil nadu,284,49.6,30.8,61.5,aegypti,chikunguniya
2018,tripura,75,203,26.4,75.7,aegypti,chikunguniya
2018,telangana,489,63.7,28.9,53.8,aegypti,chikunguniya
2018,uttar pradesh,58,43.3,29.4,45.1,aegypti,chikunguniya
2018,uttarakhand,7,92.3,23.6,49.9,aegypti,chikunguniya
2018,a&n island,27,151.21,28.4,75.7,aegypti,chikunguniya
2018,chandigarh,4,55.6,25.5,45.6,aegypti,chikunguniya
2018,delhi,407,20.88,28.9,40.7,aegypti,chikunguniya
2018,d&n haveli,0,107,28.15,66.8,aegypti,chikunguniya
2018,pudducherry,361,171.2,29.4,71.2,aegypti,chikunguniya
2018,arunachal pradesh,79,47.54,30.63,64.4,aegypti,chikunguniya
2018,arunachal pradesh,1,170.9,25.08,73.22,aegypti,chikunguniya
2018,assam,3,145,26.1,73.8,aegypti,chikunguniya
2018,bihar,156,31.22,29.5,50.4,aegypti,chikunguniya
2018,chhatisgarh,0,67.04,29.6,49.2,aegypti,chikunguniya
2018,goa,77,118.4,28.5,71.4,aegypti,chikunguniya
2018,gujarat,1290,49.06,29.95,47.57,aegypti,chikunguniya
2018,haryana,3,21.3,29.1,37.9,aegypti,chikunguniya
2018,himachal pradesh,0,105,18.4,53.4,aegypti,chikunguniya
2018,jharkhand,851,70.76,26.78,55.14,aegypti,chikunguniya
2018,karnatak,2546,45.58,28.03,56.5,aegypti,chikunguniya
2018,kerala,77,128.3,28.03,75.7,aegypti,chikunguniya
2018,madhya pradesh,1609,66.2,28.7,46.9,aegypti,chikunguniya
2018,meghalaya,2,301,19.06,84.4,aegypti,chikunguniya
2018,maharastrarastrarastrarastra,1009,64.14,28.9,45.9,aegypti,chikunguniya
2018,manipur,0,110.9,21.77,77.6,aegypti,chikunguniya
2018,orissa,0,71.4,29.68,60.4,aegypti,chikunguniya
2018,punjab,25,38.4,27.98,42.8,aegypti,chikunguniya
2018,rajasthan,254,25.4,29,35.11,aegypti,chikunguniya
2018,sikkim,28,105.4,14.4,63.03,aegypti,chikunguniya
2018,tamil nadu,284,49.6,30.8,61.5,aegypti,chikunguniya
2018,tripura,75,203,26.4,75.7,aegypti,chikunguniya
2018,telangana,489,63.7,28.9,53.8,aegypti,chikunguniya
2018,uttar pradesh,58,43.3,29.4,45.1,aegypti,chikunguniya
2018,uttarakhand,7,92.3,23.6,49.9,aegypti,chikunguniya
2018,a&n island,27,151.21,28.4,75.7,aegypti,chikunguniya
2018,chandigarh,4,55.6,25.5,45.6,aegypti,chikunguniya
2018,delhi,407,20.88,28.9,40.7,aegypti,chikunguniya
2018,d&n haveli,0,107,28.15,66.8,aegypti,chikunguniya
2018,pudducherry,361,171.2,29.4,71.2,aegypti,chikunguniya
2018,arunachal pradesh,79,47.54,30.63,64.4,aegypti,chikunguniya
2018,arunachal pradesh,1,170.9,25.08,73.22,aegypti,chikunguniya
2018,assam,3,145,26.1,73.8,aegypti,chikunguniya
2018,bihar,156,31.22,29.5,50.4,aegypti,chikunguniya
2018,chhatisgarh,0,67.04,29.6,49.2,aegypti,chikunguniya
2018,goa,77,118.4,28.5,71.4,aegypti,chikunguniya
2018,gujarat,1290,49.06,29.95,47.57,aegypti,chikunguniya
2018,haryana,3,21.3,29.1,37.9,aegypti,chikunguniya
2018,himachal pradesh,0,105,18.4,53.4,aegypti,chikunguniya
2018,jharkhand,851,70.76,26.78,55.14,aegypti,chikunguniya
2018,karnatak,2546,45.58,28.03,56.5,aegypti,chikunguniya
2018,kerala,77,128.3,28.03,75.7,aegypti,chikunguniya
2018,madhya pradesh,1609,66.2,28.7,46.9,aegypti,chikunguniya
2018,meghalaya,2,301,19.06,84.4,aegypti,chikunguniya
2018,maharastrarastrarastrarastra,1009,64.14,28.9,45.9,aegypti,chikunguniya
2018,manipur,0,110.9,21.77,77.6,aegypti,chikunguniya
2018,orissa,0,71.4,29.68,60.4,aegypti,chikunguniya
2018,punjab,25,38.4,27.98,42.8,aegypti,chikunguniya
2018,rajasthan,254,25.4,29,35.11,aegypti,chikunguniya
2018,sikkim,28,105.4,14.4,63.03,aegypti,chikunguniya
2018,tamil nadu,284,49.6,30.8,61.5,aegypti,chikunguniya
2018,tripura,75,203,26.4,75.7,aegypti,chikunguniya
2018,telangana,489,63.7,28.9,53.8,aegypti,chikunguniya
2018,uttar pradesh,58,43.3,29.4,45.1,aegypti,chikunguniya
2018,uttarakhand,7,92.3,23.6,49.9,aegypti,chikunguniya
2018,a&n island,27,151.21,28.4,75.7,aegypti,chikunguniya
2018,chandigarh,4,55.6,25.5,45.6,aegypti,chikunguniya
2018,delhi,407,20.88,28.9,40.7,aegypti,chikunguniya
2018,d&n haveli,0,107,28.15,66.8,aegypti,chikunguniya
2018,pudducherry,361,171.2,29.4,71.2,aegypti,chikunguniya
2018,arunachal pradesh,79,47.54,30.63,64.4,aegypti,chikunguniya
2018,arunachal pradesh,1,170.9,25.08,73.22,aegypti,chikunguniya
2018,assam,3,145,26.1,73.8,aegypti,chikunguniya
2018,bihar,156,31.22,29.5,50.4,aegypti,chikunguniya
2018,chhatisgarh,0,67.04,29.6,49.2,aegypti,chikunguniya
2018,goa,77,118.4,28.5,71.4,aegypti,chikunguniya
2018,gujarat,1290,49.06,29.95,47.57,aegypti,chikunguniya
2018,haryana,3,21.3,29.1,37.9,aegypti,chikunguniya
2018,himachal pradesh,0,105,18.4,53.4,aegypti,chikunguniya
2018,jharkhand,851,70.76,26.78,55.14,aegypti,chikunguniya
2018,karnatak,2546,45.58,28.03,56.5,aegypti,chikunguniya
2018,kerala,77,128.3,28.03,75.7,aegypti,chikunguniya
2018,madhya pradesh,1609,66.2,28.7,46.9,aegypti,chikunguniya
2018,meghalaya,2,301,19.06,84.4,aegypti,chikunguniya
2018,maharastrarastrarastrarastra,1009,64.14,28.9,45.9,aegypti,chikunguniya
2018,manipur,0,110.9,21.77,77.6,aegypti,chikunguniya
2018,orissa,0,71.4,29.68,60.4,aegypti,chikunguniya
2018,punjab,25,38.4,27.98,42.8,aegypti,chikunguniya
2018,rajasthan,254,25.4,29,35.11,aegypti,chikunguniya
2018,sikkim,28,105.4,14.4,63.03,aegypti,chikunguniya
2018,tamil nadu,284,49.6,30.8,61.5,aegypti,chikunguniya
2018,tripura,75,203,26.4,75.7,aegypti,chikunguniya
2018,telangana,489,63.7,28.9,53.8,aegypti,chikunguniya
2018,uttar pradesh,58,43.3,29.4,45.1,aegypti,chikunguniya
2018,uttarakhand,7,92.3,23.6,49.9,aegypti,chikunguniya
2018,a&n island,27,151.21,28.4,75.7,aegypti,chikunguniya
2018,chandigarh,4,55.6,25.5,45.6,aegypti,chikunguniya
2018,delhi,407,20.88,28.9,40.7,aegypti,chikunguniya
2018,d&n haveli,0,107,28.15,66.8,aegypti,chikunguniya
2018,pudducherry,361,171.2,29.4,71.2,aegypti,chikunguniya
